epoch,phase,layer,stage,mae,rmse,relative_l1,relative_l2,max_abs,samples,batches,numel
19,train,decoder.layers.4.attention.attention,softmax_probs,0.012616911813743453,0.03745804395238532,0.34922433569369027,0.3340041839249755,0.8499859571456909,29000,454,173820992
19,train,decoder.layers.4.attention.attention,attention_output,0.3345852417294337,0.5029922781372986,1.90029811123113,1.743396217520604,5.329806327819824,29000,454,401911808
19,train,decoder.layers.4.crossattention.attention,qk_scores,0.6101081650072699,0.8265790216349905,0.48145407695642983,0.46756031539376275,6.310067176818848,29000,454,176259840
19,train,decoder.layers.4.crossattention.attention,softmax_probs,0.012791779431754965,0.036154553621583096,0.359032317212265,0.4144431320503074,0.864561140537262,29000,454,176259840
19,train,decoder.layers.4.crossattention.attention,attention_output,0.14242194941795072,0.20391987638033116,0.968991386895671,0.8441637121114975,3.3985390663146973,29000,454,401911808
19,train,decoder.layers.5.attention.attention,qk_scores,0.7097679323778289,0.9038850154207374,0.3626795672147186,0.3395267943592179,7.0995635986328125,29000,454,173820992
19,train,decoder.layers.5.attention.attention,softmax_probs,0.011711510007683742,0.038721429251993796,0.3241636592837427,0.30966802321078707,0.8197177648544312,29000,454,173820992
19,train,decoder.layers.5.attention.attention,attention_output,0.29065871391542475,0.3873101021570165,1.2029503032807456,1.1015145596908436,5.339766979217529,29000,454,401911808
19,train,decoder.layers.5.crossattention.attention,qk_scores,0.8315294378786526,1.0492770747708964,0.40806846254617096,0.41191398630826126,6.747067928314209,29000,454,176259840
19,train,decoder.layers.5.crossattention.attention,softmax_probs,0.014107038034561379,0.04381347732150782,0.3959482401624911,0.3802220192484582,0.9014459848403931,29000,454,176259840
19,train,decoder.layers.5.crossattention.attention,attention_output,0.18635131585464718,0.24283474049628917,0.6194043544169622,0.5924471431648988,4.466882228851318,29000,454,401911808
1,train,encoder.layers.0.attention.attention,qk_scores,0.2812323302408922,0.3533989118228488,0.4935958569022856,0.4955839030223013,2.2467565536499023,29000,454,181767232
1,train,encoder.layers.0.attention.attention,softmax_probs,0.0061506887054795,0.012203116009389538,0.17392298759829844,0.20911071430778932,0.2951852083206177,29000,454,181767232
1,train,encoder.layers.0.attention.attention,attention_output,0.15835790529519714,0.21379862887608833,0.3086141699630538,0.33188412226688774,3.205223798751831,29000,454,411398144
1,train,encoder.layers.1.attention.attention,qk_scores,0.7711186847210963,0.9717428213482808,1.0926236698471687,1.096003956884056,5.803232192993164,29000,454,181767232
1,train,encoder.layers.1.attention.attention,softmax_probs,0.01684971925545154,0.03671720356530281,0.47645941022668725,0.5788098247175318,0.7044779062271118,29000,454,181767232
1,train,encoder.layers.1.attention.attention,attention_output,0.3117861563347637,0.4025454334704317,0.5046552657068415,0.5162170565406248,4.282510757446289,29000,454,411398144
1,train,encoder.layers.2.attention.attention,qk_scores,0.6957128847628494,0.9050787311656886,1.037969584513461,1.0583449356008403,6.013208866119385,29000,454,181767232
1,train,encoder.layers.2.attention.attention,softmax_probs,0.014422159196796479,0.0307007635801135,0.40781530902230445,0.5356867077807806,0.7035328149795532,29000,454,181767232
1,train,encoder.layers.2.attention.attention,attention_output,0.30064185626413825,0.3919427538246433,0.45364676153337663,0.4666861620588928,5.504605770111084,29000,454,411398144
1,train,encoder.layers.3.attention.attention,qk_scores,0.6305865045776392,0.8336287106706055,0.9594264712066356,0.9892328141146696,5.856446266174316,29000,454,181767232
1,train,encoder.layers.3.attention.attention,softmax_probs,0.012353297848770017,0.026283885801844695,0.3493141291048672,0.4716950351960009,0.6191932559013367,29000,454,181767232
1,train,encoder.layers.3.attention.attention,attention_output,0.26095085652788275,0.35231041569903293,0.36443141947956803,0.3946738971995639,4.4644880294799805,29000,454,411398144
1,train,encoder.layers.4.attention.attention,qk_scores,0.5505160558185499,0.7472740451747039,0.689827849915942,0.7502115643280498,5.995487213134766,29000,454,181767232
1,train,encoder.layers.4.attention.attention,softmax_probs,0.009606402653408936,0.020911650015662756,0.2716401901570228,0.3846525741662741,0.5921314358711243,29000,454,181767232
1,train,encoder.layers.4.attention.attention,attention_output,0.21767421669771497,0.3048925311344409,0.278800561277394,0.3124517044846973,5.420393943786621,29000,454,411398144
1,train,encoder.layers.5.attention.attention,qk_scores,0.45127276484988227,0.6151177379476025,0.6169617495063353,0.6580784082228116,5.736083030700684,29000,454,181767232
1,train,encoder.layers.5.attention.attention,softmax_probs,0.007868357948834656,0.017196270431835116,0.22249351048037755,0.3203953207325948,0.6062213182449341,29000,454,181767232
1,train,encoder.layers.5.attention.attention,attention_output,0.18420787646122225,0.25977026246348933,0.22068638444214544,0.24955108647532792,4.954283237457275,29000,454,411398144
1,train,decoder.layers.0.attention.attention,qk_scores,0.2848966338196057,0.35940579285849716,0.48244682802442207,0.485580340527069,4.11536979675293,29000,454,177705216
1,train,decoder.layers.0.attention.attention,softmax_probs,0.005973052706046473,0.014270368479439246,0.1669892764446294,0.17895075246427763,0.538756251335144,29000,454,177705216
1,train,decoder.layers.0.attention.attention,attention_output,0.4246294178353254,0.5613189312179738,0.8520325627108768,0.8880587460194982,7.175719738006592,29000,454,406806528
1,train,decoder.layers.0.crossattention.attention,qk_scores,0.5886292049064045,0.784875919074253,1.0117073838777357,1.062076814009195,5.643553256988525,29000,454,178686080
1,train,decoder.layers.0.crossattention.attention,softmax_probs,0.00916429899890635,0.01969241985464696,0.2576214570971683,0.36709276599148694,0.611393928527832,29000,454,178686080
1,train,decoder.layers.0.crossattention.attention,attention_output,0.156238034215426,0.23450665347858046,0.24135164348374688,0.2878235152169337,4.0840606689453125,29000,454,406806528
1,train,decoder.layers.1.attention.attention,qk_scores,0.8125945173141489,1.0188212018877845,0.8960311071311099,0.853652471399635,5.943001747131348,29000,454,177705216
1,train,decoder.layers.1.attention.attention,softmax_probs,0.01626234323867853,0.04269122369642387,0.4546480776859916,0.4754790031552523,0.8524685502052307,29000,454,177705216
1,train,decoder.layers.1.attention.attention,attention_output,0.5908672173309034,0.7666901986830458,0.9303094402522677,0.960546738373567,7.990942001342773,29000,454,406806528
1,train,decoder.layers.1.crossattention.attention,qk_scores,0.5746116114859436,0.7709042104918602,0.9231306059712352,0.963010564113669,6.026313304901123,29000,454,178686080
1,train,decoder.layers.1.crossattention.attention,softmax_probs,0.009122242008178173,0.019754001783680388,0.2564391753717676,0.3680008723934297,0.6120020151138306,29000,454,178686080
